model,scenario,n_years,mean_zoop_biomass,mean_fish_biomass,mean_total_biomass,final_zoop_change,final_fish_change
cesm2-waccm,historical,165,0.7531662593077714,1.162131712449025,1.9152979717567964,4.34235097905819,4.751283407453091
cesm2-waccm,picontrol,499,0.7428424425705704,1.1447231581754207,1.8875656007459911,-2.0824279615943175,-1.1387661412472112
cesm2-waccm,ssp126,285,0.6686668467305829,1.0193309089166873,1.6879977556472703,-13.393557888324855,-14.337548440810638
cesm2-waccm,ssp534-over,260,0.6999062073702946,1.073710791073192,1.7736169984434866,-8.291778829728262,-9.307267863483215
cesm2-waccm,ssp585,285,0.5795239964561347,0.8588356976963053,1.43835969415244,-35.94590754458048,-40.32844465670622
ipsl-cm6a-lr,historical,165,0.9395262572044997,1.4558968781128332,2.395423135317333,0.6871049738742581,-0.3985033650263749
ipsl-cm6a-lr,picontrol,500,0.9326701594273376,1.449330110156918,2.3820002695842555,0.48829358996383365,0.8999129522025862
ipsl-cm6a-lr,ssp126,286,0.927725316217395,1.4136828865832514,2.3414082028006464,1.4322061998868318,1.7997582830434506
ipsl-cm6a-lr,ssp534-over,261,0.9317836562630318,1.4166020806129322,2.348385736875964,1.9099631782967994,3.1056402009408948
ipsl-cm6a-lr,ssp585,286,0.8597296940902651,1.1868568245894564,2.0465865186797214,-11.470993006030458,-27.117866123652686
ukesm1-0-ll,historical,165,1.8170124440815036,2.935527328090018,4.752539772171521,-2.176061408489701,-2.7453073454086137
ukesm1-0-ll,picontrol,500,1.8140473104819634,2.934079746908598,4.748127057390562,2.1537813601522657,2.5381373396646993
ukesm1-0-ll,ssp126,286,1.718061203558852,2.738582308238594,4.456643511797446,-0.7481930878114279,-1.696230480165993
ukesm1-0-ll,ssp534-over,61,1.6640601650537536,2.63144973000203,4.295509895055783,0.904428650639641,0.5798455610511767
ukesm1-0-ll,ssp585,286,1.3584320381594523,2.075751436592201,3.4341834747516535,-36.13356852788393,-40.68444796589359
