model,scenario,n_years,n_species,total_points,mean_total_biomass
cesm2-waccm,historical,165,12,1980,0.16653645259398211
cesm2-waccm,picontrol,499,12,5988,0.16183530548662242
cesm2-waccm,ssp126,285,12,3420,0.14646558009774788
cesm2-waccm,ssp534-over,260,12,3120,0.157901861927822
cesm2-waccm,ssp585,285,12,3420,0.13110422674107292
ipsl-cm6a-lr,historical,165,12,1980,0.19856072213029696
ipsl-cm6a-lr,picontrol,500,12,6000,0.19647921032424964
ipsl-cm6a-lr,ssp126,286,12,3432,0.1970943969409531
ipsl-cm6a-lr,ssp534-over,261,12,3132,0.19868557884990792
ipsl-cm6a-lr,ssp585,286,12,3432,0.17485884308308391
ukesm1-0-ll,historical,165,12,1980,0.40210747713587286
