model,scenario,n_cells,mean_tcb,mean_tpb,mean_diff,max_abs_diff,mean_pct_diff,max_pct_diff,n_exact_match,pct_exact_match
cesm2-waccm,historical,6768135,150.5603278317267,150.5603278317267,0,0,0,0,6768135,100
cesm2-waccm,picontrol,20468481,146.2877126717499,146.2877126717499,0,0,0,0,20468481,100
cesm2-waccm,ssp126,11690415,131.04316989604098,131.04316989604098,0,0,0,0,11690415,100
cesm2-waccm,ssp534-over,10664940,141.4905269572732,141.4905269572732,0,0,0,0,10664940,100
cesm2-waccm,ssp585,11690415,116.82457913420876,116.82457913420876,0,0,0,0,11690415,100
ipsl-cm6a-lr,historical,6828195,178.068132531284,178.068132531284,0,0,0,0,6828195,100
ipsl-cm6a-lr,picontrol,20691500,176.41338802150185,176.41338802150185,0,0,0,0,20691500,100
ipsl-cm6a-lr,ssp126,11835538,176.60152730049018,176.60152730049018,0,0,0,0,11835538,100
ipsl-cm6a-lr,ssp534-over,10800963,177.7664658494215,177.7664658494215,0,0,0,0,10800963,100
ipsl-cm6a-lr,ssp585,11835538,156.1595854239463,156.1595854239463,0,0,0,0,11835538,100
ukesm1-0-ll,historical,6824895,373.14318062320365,373.14318062320365,0,0,0,0,6824895,100
ukesm1-0-ll,picontrol,20681500,372.44498702297165,372.44498702297165,0,0,0,0,20681500,100
ukesm1-0-ll,ssp126,11829818,345.4698593643299,345.4698593643299,0,0,0,0,11829818,100
ukesm1-0-ll,ssp534-over,10795943,341.81799129981385,341.81799129981385,0,0,0,0,10795943,100
ukesm1-0-ll,ssp585,11829818,276.63109458826887,276.63109458826887,0,0,0,0,11829818,100
