period,model,scenario,n_cells,mean_tcb_change,median_tcb_change,sd_tcb_change,p10_tcb_change,p90_tcb_change
2090s,cesm2-waccm,ssp126,41019,5.6105674538719015,-2.905577431035055,169.64845156907575,-41.86248632022112,34.96378759786366
2090s,cesm2-waccm,ssp534-over,41019,8.855613548615564,-3.0860152765041184,185.94520665902812,-43.631822137441546,43.63177186049554
2090s,cesm2-waccm,ssp585,41019,0.4331737330974695,-15.55003463791324,138.30036059847654,-63.192066204988635,48.28425244156232
2090s,ipsl-cm6a-lr,ssp126,41383,5.83229082513936,-0.38301294904689864,30.091118946201014,-11.335087963842343,21.101332531500532
2090s,ipsl-cm6a-lr,ssp534-over,41383,4.218147759608849,-0.6028970225393321,26.539487490013116,-13.525161231858538,21.867988915401654
2090s,ipsl-cm6a-lr,ssp585,41383,3.2655885013180135,-4.228579377998862,41.47076181065319,-30.179208353563467,34.940586674153565
2090s,ukesm1-0-ll,ssp126,41363,-8.610823156911604,-4.725091796174103,22.081396909338206,-37.5118160192016,8.176903473018346
2090s,ukesm1-0-ll,ssp534-over,41363,-12.590649596359642,-8.30195841875575,25.83626595446093,-50.689349335362245,11.293488743210542
2090s,ukesm1-0-ll,ssp585,41363,-20.497056409740182,-21.276718231491405,33.051417277611385,-62.56373465627241,16.141102030435853
2290s,cesm2-waccm,ssp126,41019,0.9931842015211105,-5.359752957862713,134.84132050670644,-64.80145096234972,37.43585718597761
2290s,cesm2-waccm,ssp534-over,41019,14.04167548703013,-3.2726027608383994,214.76064269731657,-30.556298988822736,50.12086942024568
2290s,cesm2-waccm,ssp585,41019,0.023374299631906684,-47.27076674848387,191.4293380019633,-81.36771342909577,133.15180502086233
2290s,ipsl-cm6a-lr,ssp126,41383,3.8559236869798585,-0.5449451238209297,22.61400832003795,-10.353418428816859,15.647059443253339
2290s,ipsl-cm6a-lr,ssp534-over,41383,2.8724641097434613,0.10369717707642868,17.38685201113341,-10.39361186664716,16.61388971033403
2290s,ipsl-cm6a-lr,ssp585,41383,-2.6602316167325264,-14.521261008774983,56.31684857613735,-45.9449719990604,43.56232434761473
2290s,ukesm1-0-ll,ssp126,41363,-6.823397229124054,-3.4460990382172563,20.43515939323805,-32.6603877369263,10.250179286898259
2290s,ukesm1-0-ll,ssp534-over,41358,-6.946189106258477,-3.6579421112970794,19.998648575753638,-31.55437534514629,11.222613413706222
2290s,ukesm1-0-ll,ssp585,41363,-34.55301882168478,-53.25733653774136,60.51311573220556,-90.02657183962026,34.04048404627139
