model,scenario,total_ocean_area_km2,effective_area_km2,n_cells,coverage_fraction
cesm2-waccm,historical,348882035.6702432,52468397.75277039,6140,0.1503900814267277
cesm2-waccm,picontrol,348882035.6702432,7386681.597280713,857,0.02117243320680021
cesm2-waccm,ssp126,348882035.6702432,28439866.806534056,3311,0.08151714304205358
cesm2-waccm,ssp534-over,348882035.6702432,27639122.286893576,3270,0.07922197035394955
cesm2-waccm,ssp585,348882035.6702432,28017646.19926107,3297,0.08030693281594707
ipsl-cm6a-lr,historical,348882035.6702432,51308422.17338674,6030,0.14706524534809381
ipsl-cm6a-lr,picontrol,348882035.6702432,7043257.382774739,831,0.020188076950548105
ipsl-cm6a-lr,ssp126,348882035.6702432,28119395.976348482,3317,0.08059857803319632
ipsl-cm6a-lr,ssp534-over,348882035.6702432,27521522.979778416,3244,0.07888489565507822
ipsl-cm6a-lr,ssp585,348882035.6702432,27718467.765173946,3244,0.0794493981666999
ukesm1-0-ll,historical,348882035.6702432,51868002.93350887,6104,0.14866917075241312
ukesm1-0-ll,picontrol,348882035.6702432,6766168.944572336,799,0.019393858819855066
ukesm1-0-ll,ssp126,348882035.6702432,26786868.25454134,3158,0.07677915603502093
ukesm1-0-ll,ssp534-over,348882035.6702432,52021246.24465808,6089,0.1491084118009091
ukesm1-0-ll,ssp585,348882035.6702432,26594841.858611163,3150,0.07622875109496355
