model,scenario,n_cells,mean_tcb_change,median_tcb_change,period,p10_tcb_change,p90_tcb_change
cesm2-waccm,historical,41019,2.0683317438845124,1.1372419211125606,historical,NA,NA
cesm2-waccm,picontrol,41019,1.8903842153077464,1.0558125470799182,historical,NA,NA
ipsl-cm6a-lr,historical,41383,2.4091504942994675,2.2379265944143722,historical,NA,NA
ipsl-cm6a-lr,picontrol,41383,2.3804688306468877,2.2225127470487513,historical,NA,NA
ukesm1-0-ll,historical,41363,4.856826754264894,4.823818896298616,historical,NA,NA
ukesm1-0-ll,picontrol,41363,4.8506099755142795,4.842192074786035,historical,NA,NA
cesm2-waccm,picontrol,41019,-9.651445446076247,-3.2872710090474,recent_changes,-47.337087716254366,11.851777947557228
cesm2-waccm,ssp126,41019,5.6105674538719015,-2.905577431035055,recent_changes,-41.86248632022112,34.96378759786366
cesm2-waccm,ssp585,41019,0.4331737330974695,-15.55003463791324,recent_changes,-63.192066204988635,48.28425244156232
ipsl-cm6a-lr,picontrol,41383,-3.034961584217813,-1.2279729368573844,recent_changes,-17.90241230328703,9.444819888977852
ipsl-cm6a-lr,ssp126,41383,5.83229082513936,-0.38301294904689864,recent_changes,-11.335087963842343,21.101332531500532
ipsl-cm6a-lr,ssp585,41383,3.2655885013180135,-4.228579377998862,recent_changes,-30.179208353563467,34.940586674153565
ukesm1-0-ll,picontrol,41363,-0.5273816349262267,-0.6913574845553683,recent_changes,-11.511794163010167,10.165697929938549
ukesm1-0-ll,ssp126,41363,-8.610823156911604,-4.725091796174103,recent_changes,-37.5118160192016,8.176903473018346
ukesm1-0-ll,ssp585,41363,-20.497056409740182,-21.276718231491405,recent_changes,-62.56373465627241,16.141102030435853
cesm2-waccm,picontrol,41019,-9.651445446076247,-3.2872710090474,future_changes,-47.337087716254366,11.851777947557228
cesm2-waccm,ssp126,41019,0.9931842015211105,-5.359752957862713,future_changes,-64.80145096234972,37.43585718597761
cesm2-waccm,ssp585,41019,0.023374299631906684,-47.27076674848387,future_changes,-81.36771342909577,133.15180502086233
ipsl-cm6a-lr,picontrol,41383,-3.034961584217813,-1.2279729368573844,future_changes,-17.90241230328703,9.444819888977852
ipsl-cm6a-lr,ssp126,41383,3.8559236869798585,-0.5449451238209297,future_changes,-10.353418428816859,15.647059443253339
ipsl-cm6a-lr,ssp585,41383,-2.6602316167325264,-14.521261008774983,future_changes,-45.9449719990604,43.56232434761473
ukesm1-0-ll,picontrol,41363,-0.5273816349262267,-0.6913574845553683,future_changes,-11.511794163010167,10.165697929938549
ukesm1-0-ll,ssp126,41363,-6.823397229124054,-3.4460990382172563,future_changes,-32.6603877369263,10.250179286898259
ukesm1-0-ll,ssp585,41363,-34.55301882168478,-53.25733653774136,future_changes,-90.02657183962026,34.04048404627139
